semester_id,start_date,end_date,term_name,semester_year,school_year_name
29,18/8/14,5/12/14,Fall,2014,2014-2015
30,19/1/15,8/5/15,Spring,2015,2014-2015
31,17/8/15,4/12/15,Fall,2015,2015-2016
32,18/1/16,6/5/16,Spring,2016,2015-2016
33,22/8/16,9/12/16,Fall,2016,2016-2017
34,23/1/17,12/5/17,Spring,2017,2016-2017
35,21/8/17,8/12/17,Fall,2017,2017-2018
36,22/1/18,11/5/18,Spring,2018,2017-2018
37,20/8/18,7/12/18,Fall,2018,2018-2019
38,21/1/19,10/5/19,Spring,2019,2018-2019
39,19/8/19,6/12/19,Fall,2019,2019-2020
40,20/1/20,8/5/20,Spring,2020,2019-2020
41,17/8/20,4/12/20,Fall,2020,2020-2021
42,18/1/21,7/5/21,Spring,2021,2020-2021
43,23/8/21,10/12/21,Fall,2021,2021-2022
44,24/1/22,13/5/22,Spring,2022,2021-2022
45,22/8/22,9/12/22,Fall,2022,2022-2023
46,23/1/23,12/5/23,Spring,2023,2022-2023
47,21/8/23,8/12/23,Fall,2023,2023-2024
48,22/1/24,10/5/24,Spring,2024,2023-2024
49,19/8/24,6/12/24,Fall,2024,2024-2025
50,20/1/25,9/5/25,Spring,2025,2024-2025
51,18/8/25,5/12/25,Fall,2025,2025-2026
52,19/1/26,8/5/26,Spring,2026,2025-2026
53,24/8/26,11/12/26,Fall,2026,2026-2027
54,25/1/27,14/5/27,Spring,2027,2026-2027